index,Match No,Date,Man of the match,Venue,Home Team,Away Team,Toss Winner,Toss Decision,Winner,Result,Result Margin,Super Over,Umpire 1,Umpire 2,Loser,season
720,718,2019-04-11,MS Dhoni,Sawai Mansingh Stadium,Rajasthan Royals,Chennai Super Kings,Chennai Super Kings,field,Chennai Super Kings,wickets,4.0,N,UV Gandhe,BNJ Oxenford,Rajasthan Royals,2019
721,719,2019-04-12,S Dhawan,Eden Gardens,Kolkata Knight Riders,Delhi Capitals,Delhi Capitals,field,Delhi Capitals,wickets,7.0,N,YC Barde,CK Nandan,Kolkata Knight Riders,2019
722,720,2019-04-13,JC Buttler,Wankhede Stadium,Mumbai Indians,Rajasthan Royals,Rajasthan Royals,field,Rajasthan Royals,wickets,4.0,N,Nitin Menon,A Nand Kishore,Mumbai Indians,2019
723,721,2019-04-13,AB de Villiers,"Punjab Cricket Association IS Bindra Stadium, Mohali",Kings XI Punjab,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Royal Challengers Bangalore,wickets,8.0,N,UV Gandhe,S Ravi,Kings XI Punjab,2019
724,722,2019-04-14,Imran Tahir,Eden Gardens,Kolkata Knight Riders,Chennai Super Kings,Chennai Super Kings,field,Chennai Super Kings,wickets,5.0,N,RJ Tucker,CK Nandan,Kolkata Knight Riders,2019
725,723,2019-04-14,KMA Paul,"Rajiv Gandhi International Stadium, Uppal",Sunrisers Hyderabad,Delhi Capitals,Sunrisers Hyderabad,field,Delhi Capitals,runs,39.0,N,BNJ Oxenford,AK Chaudhary,Sunrisers Hyderabad,2019
726,724,2019-04-15,SL Malinga,Wankhede Stadium,Mumbai Indians,Royal Challengers Bangalore,Mumbai Indians,field,Mumbai Indians,wickets,5.0,N,M Erasmus,Nitin Menon,Royal Challengers Bangalore,2019
727,725,2019-04-16,R Ashwin,"Punjab Cricket Association IS Bindra Stadium, Mohali",Kings XI Punjab,Rajasthan Royals,Rajasthan Royals,field,Kings XI Punjab,runs,12.0,N,VA Kulkarni,AK Chaudhary,Rajasthan Royals,2019
728,726,2019-04-17,DA Warner,"Rajiv Gandhi International Stadium, Uppal",Sunrisers Hyderabad,Chennai Super Kings,Chennai Super Kings,bat,Sunrisers Hyderabad,wickets,6.0,N,UV Gandhe,IJ Gould,Chennai Super Kings,2019
729,727,2019-04-18,HH Pandya,Feroz Shah Kotla,Delhi Capitals,Mumbai Indians,Mumbai Indians,bat,Mumbai Indians,runs,40.0,N,BNJ Oxenford,NJ Llong,Delhi Capitals,2019
